Método,Tipo,Tamanho,Execução,Tempo(ns)
Quick Sort,Aleatório,1000000,9,164848200
Quick Sort,Aleatório,1000000,10,146880800
Método,Tipo,Tamanho,Execução,Tempo(ns)
Quick Sort,Repetidos,100,1,9400
Quick Sort,Repetidos,100,2,6600
Quick Sort,Repetidos,100,3,6100
Quick Sort,Repetidos,100,4,6600
Quick Sort,Repetidos,100,5,2700
Quick Sort,Repetidos,100,6,2400
Quick Sort,Repetidos,100,7,2000
Quick Sort,Repetidos,100,8,2300
Quick Sort,Repetidos,100,9,2100
Quick Sort,Repetidos,100,10,2100
Quick Sort,Repetidos,1000,1,38300
Quick Sort,Repetidos,1000,2,30000
Quick Sort,Repetidos,1000,3,30300
Quick Sort,Repetidos,1000,4,36100
Quick Sort,Repetidos,1000,5,32100
Quick Sort,Repetidos,1000,6,30000
Quick Sort,Repetidos,1000,7,30900
Quick Sort,Repetidos,1000,8,31500
Quick Sort,Repetidos,1000,9,50200
Quick Sort,Repetidos,1000,10,54600
Quick Sort,Repetidos,10000,1,411500
Quick Sort,Repetidos,10000,2,414900
Quick Sort,Repetidos,10000,3,409800
Quick Sort,Repetidos,10000,4,408500
Quick Sort,Repetidos,10000,5,633200
Quick Sort,Repetidos,10000,6,445800
Quick Sort,Repetidos,10000,7,447700
Quick Sort,Repetidos,10000,8,448600
Quick Sort,Repetidos,10000,9,500700
Quick Sort,Repetidos,10000,10,472400
Quick Sort,Repetidos,100000,1,6040100
Quick Sort,Repetidos,100000,2,6426500
Quick Sort,Repetidos,100000,3,5441900
Quick Sort,Repetidos,100000,4,5292200
Quick Sort,Repetidos,100000,5,5295500
Quick Sort,Repetidos,100000,6,5264700
Quick Sort,Repetidos,100000,7,5312700
Quick Sort,Repetidos,100000,8,5249500
Quick Sort,Repetidos,100000,9,5277500
Quick Sort,Repetidos,100000,10,5301900
Quick Sort,Repetidos,1000000,1,75591800
Quick Sort,Repetidos,1000000,2,71197900
Quick Sort,Repetidos,1000000,3,71224300
Quick Sort,Repetidos,1000000,4,71264200
Quick Sort,Repetidos,1000000,5,70870900
Quick Sort,Repetidos,1000000,6,70754400
Quick Sort,Repetidos,1000000,7,71275600
Quick Sort,Repetidos,1000000,8,70165600
Quick Sort,Repetidos,1000000,9,70417300
Quick Sort,Repetidos,1000000,10,68993100
Método,Tipo,Tamanho,Execução,Tempo(ns)
Merge Sort,Crescente,100,1,260400
Merge Sort,Crescente,100,2,220900
Merge Sort,Crescente,100,3,156100
Merge Sort,Crescente,100,4,200100
Merge Sort,Crescente,100,5,219400
Merge Sort,Crescente,100,6,75200
Merge Sort,Crescente,100,7,74300
Merge Sort,Crescente,100,8,66700
Merge Sort,Crescente,100,9,49000
Merge Sort,Crescente,100,10,51100
Merge Sort,Crescente,1000,1,363000
Merge Sort,Crescente,1000,2,304300
Merge Sort,Crescente,1000,3,290500
Merge Sort,Crescente,1000,4,355400
Merge Sort,Crescente,1000,5,372900
Merge Sort,Crescente,1000,6,290800
Merge Sort,Crescente,1000,7,314800
Merge Sort,Crescente,1000,8,277400
Merge Sort,Crescente,1000,9,267100
Merge Sort,Crescente,1000,10,434000
Merge Sort,Crescente,10000,1,3109700
Merge Sort,Crescente,10000,2,2881800
Merge Sort,Crescente,10000,3,5382300
Merge Sort,Crescente,10000,4,6013900
Merge Sort,Crescente,10000,5,5581400
Merge Sort,Crescente,10000,6,5891600
Merge Sort,Crescente,10000,7,5996900
Merge Sort,Crescente,10000,8,5700200
Merge Sort,Crescente,10000,9,6164900
Merge Sort,Crescente,10000,10,5467300
Merge Sort,Crescente,100000,1,51714200
Merge Sort,Crescente,100000,2,11810400
Merge Sort,Crescente,100000,3,14072300
Merge Sort,Crescente,100000,4,12957400
Merge Sort,Crescente,100000,5,7133900
Merge Sort,Crescente,100000,6,12142900
Merge Sort,Crescente,100000,7,6173400
Merge Sort,Crescente,100000,8,12668200
Merge Sort,Crescente,100000,9,7215900
Merge Sort,Crescente,100000,10,13346500
Merge Sort,Crescente,1000000,1,126367700
Merge Sort,Crescente,1000000,2,130921700
Merge Sort,Crescente,1000000,3,108852200
Merge Sort,Crescente,1000000,4,130443900
Merge Sort,Crescente,1000000,5,121666800
Merge Sort,Crescente,1000000,6,136244900
Merge Sort,Crescente,1000000,7,134445600
Merge Sort,Crescente,1000000,8,109809100
Merge Sort,Crescente,1000000,9,115206800
Merge Sort,Crescente,1000000,10,128450700
Método,Tipo,Tamanho,Execução,Tempo(ns)
Merge Sort,Decrescente,100,1,144600
Merge Sort,Decrescente,100,2,41000
Merge Sort,Decrescente,100,3,41800
Merge Sort,Decrescente,100,4,40100
Merge Sort,Decrescente,100,5,39300
Merge Sort,Decrescente,100,6,43800
Merge Sort,Decrescente,100,7,35400
Merge Sort,Decrescente,100,8,44300
Merge Sort,Decrescente,100,9,34200
Merge Sort,Decrescente,100,10,34100
Merge Sort,Decrescente,1000,1,433100
Merge Sort,Decrescente,1000,2,101700
Merge Sort,Decrescente,1000,3,87800
Merge Sort,Decrescente,1000,4,94300
Merge Sort,Decrescente,1000,5,88300
Merge Sort,Decrescente,1000,6,87300
Merge Sort,Decrescente,1000,7,87900
Merge Sort,Decrescente,1000,8,86400
Merge Sort,Decrescente,1000,9,85700
Merge Sort,Decrescente,1000,10,85700
Merge Sort,Decrescente,10000,1,1134600
Merge Sort,Decrescente,10000,2,1307300
Merge Sort,Decrescente,10000,3,1897300
Merge Sort,Decrescente,10000,4,1841900
Merge Sort,Decrescente,10000,5,1107500
Merge Sort,Decrescente,10000,6,1125900
Merge Sort,Decrescente,10000,7,1156500
Merge Sort,Decrescente,10000,8,1130700
Merge Sort,Decrescente,10000,9,1210600
Merge Sort,Decrescente,10000,10,1199100
Merge Sort,Decrescente,100000,1,37072000
Merge Sort,Decrescente,100000,2,40109900
Merge Sort,Decrescente,100000,3,7825300
Merge Sort,Decrescente,100000,4,7740700
Merge Sort,Decrescente,100000,5,15640000
Merge Sort,Decrescente,100000,6,8353100
Merge Sort,Decrescente,100000,7,11500600
Merge Sort,Decrescente,100000,8,12148100
Merge Sort,Decrescente,100000,9,7878600
Merge Sort,Decrescente,100000,10,7721600
Merge Sort,Decrescente,1000000,1,148894700
Merge Sort,Decrescente,1000000,2,156479900
Merge Sort,Decrescente,1000000,3,140376900
Merge Sort,Decrescente,1000000,4,126708200
Merge Sort,Decrescente,1000000,5,110486200
Merge Sort,Decrescente,1000000,6,128396500
Merge Sort,Decrescente,1000000,7,111099100
Merge Sort,Decrescente,1000000,8,177909400
Merge Sort,Decrescente,1000000,9,158824000
Merge Sort,Decrescente,1000000,10,134412300
Método,Tipo,Tamanho,Execução,Tempo(ns)
Merge Sort,Aleatório,100,1,14200
Merge Sort,Aleatório,100,2,11700
Merge Sort,Aleatório,100,3,11100
Merge Sort,Aleatório,100,4,11200
Merge Sort,Aleatório,100,5,10900
Merge Sort,Aleatório,100,6,14800
Merge Sort,Aleatório,100,7,10800
Merge Sort,Aleatório,100,8,15100
Merge Sort,Aleatório,100,9,11100
Merge Sort,Aleatório,100,10,9000
Merge Sort,Aleatório,1000,1,121600
Merge Sort,Aleatório,1000,2,117800
Merge Sort,Aleatório,1000,3,113700
Merge Sort,Aleatório,1000,4,114700
Merge Sort,Aleatório,1000,5,109400
Merge Sort,Aleatório,1000,6,122600
Merge Sort,Aleatório,1000,7,109800
Merge Sort,Aleatório,1000,8,118900
Merge Sort,Aleatório,1000,9,116300
Merge Sort,Aleatório,1000,10,113600
Merge Sort,Aleatório,10000,1,1457500
Merge Sort,Aleatório,10000,2,1573300
Merge Sort,Aleatório,10000,3,1687900
Merge Sort,Aleatório,10000,4,1601100
Merge Sort,Aleatório,10000,5,1503700
Merge Sort,Aleatório,10000,6,1696200
Merge Sort,Aleatório,10000,7,1663900
Merge Sort,Aleatório,10000,8,1493000
Merge Sort,Aleatório,10000,9,2069000
Merge Sort,Aleatório,10000,10,1474700
Merge Sort,Aleatório,100000,1,22530900
Merge Sort,Aleatório,100000,2,22553600
Merge Sort,Aleatório,100000,3,23234600
Merge Sort,Aleatório,100000,4,22084100
Merge Sort,Aleatório,100000,5,22630600
Merge Sort,Aleatório,100000,6,18710100
Merge Sort,Aleatório,100000,7,17681800
Merge Sort,Aleatório,100000,8,18974900
Merge Sort,Aleatório,100000,9,19669800
Merge Sort,Aleatório,100000,10,19495600
Merge Sort,Aleatório,1000000,1,317051300
Merge Sort,Aleatório,1000000,2,299876600
Merge Sort,Aleatório,1000000,3,290596800
Merge Sort,Aleatório,1000000,4,284355400
Merge Sort,Aleatório,1000000,5,289433400
Merge Sort,Aleatório,1000000,6,293260600
Merge Sort,Aleatório,1000000,7,276267600
Merge Sort,Aleatório,1000000,8,274320300
Merge Sort,Aleatório,1000000,9,309674200
Merge Sort,Aleatório,1000000,10,308502500
Método,Tipo,Tamanho,Execução,Tempo(ns)
Heap Sort,Crescente,100,1,154500
Heap Sort,Crescente,100,2,84700
Heap Sort,Crescente,100,3,83400
Heap Sort,Crescente,100,4,82400
Heap Sort,Crescente,100,5,93500
Heap Sort,Crescente,100,6,92100
Heap Sort,Crescente,100,7,21000
Heap Sort,Crescente,100,8,18300
Heap Sort,Crescente,100,9,29900
Heap Sort,Crescente,100,10,19900
Heap Sort,Crescente,1000,1,231700
Heap Sort,Crescente,1000,2,238300
Heap Sort,Crescente,1000,3,235100
Heap Sort,Crescente,1000,4,239700
Heap Sort,Crescente,1000,5,232900
Heap Sort,Crescente,1000,6,229200
Heap Sort,Crescente,1000,7,229800
Heap Sort,Crescente,1000,8,237800
Heap Sort,Crescente,1000,9,235400
Heap Sort,Crescente,1000,10,246000
Heap Sort,Crescente,10000,1,4205600
Heap Sort,Crescente,10000,2,11764600
Heap Sort,Crescente,10000,3,16327300
Heap Sort,Crescente,10000,4,1143100
Heap Sort,Crescente,10000,5,1028500
Heap Sort,Crescente,10000,6,1005000
Heap Sort,Crescente,10000,7,989500
Heap Sort,Crescente,10000,8,976900
Heap Sort,Crescente,10000,9,1048500
Heap Sort,Crescente,10000,10,1386200
Heap Sort,Crescente,100000,1,14221100
Heap Sort,Crescente,100000,2,11496600
Heap Sort,Crescente,100000,3,11303800
Heap Sort,Crescente,100000,4,11349700
Heap Sort,Crescente,100000,5,11365700
Heap Sort,Crescente,100000,6,11367000
Heap Sort,Crescente,100000,7,11191700
